location_id,location_name,iso3,sdi_2023,observed_2023,expected_2023,excess_2023,oe_ratio_2023,high_observed_2023,high_excess_2023,burden_profile_2023,high_excess_years_2000_2023,marked_adverse_domains_2023,n_marked_domains_2023,dominant_adverse_domain_2023
6,China,CHN,0.727553274,4658.01627322439,3886.510681290516,771.5055919338738,1.1985085479496729,False,True,Excess-only,10,Ambient PM2.5; WASH; Immunisation/UHC; HIV/TB; Health resources,5,Immunisation/UHC
7,Democratic People's Republic of Korea,PRK,0.57705994,8652.75042824236,8548.221151892942,104.52927634941808,1.0122281904611548,True,False,Structural high,17,Household energy/HAP,1,Household energy/HAP
8,Taiwan,TWN,0.881537661,6802.53554316589,1048.245650049735,5754.289893116154,6.489447910270971,False,True,Excess-only,24,Household energy/HAP; Climate/transmission,2,Climate/transmission
10,Cambodia,KHM,0.499953382,9435.17726607069,11252.874345320057,-1817.6970792493669,0.8384681972383948,True,False,Structural high,17,Climate/transmission,1,Climate/transmission
11,Indonesia,IDN,0.665731524,7325.72747367358,5633.3641709059175,1692.3633027676624,1.3004178766762575,False,True,Excess-only,20,Climate/transmission; WASH; Nutrition; Health resources,4,Nutrition
12,Lao People's Democratic Republic,LAO,0.515008269,10007.03351532393,10725.628876998016,-718.5953616740862,0.9330020300054226,True,False,Structural high,0,Nutrition,1,Nutrition
13,Malaysia,MYS,0.770371353,6771.88446814123,2866.9819176770648,3904.902550464165,2.362025524607446,False,True,Excess-only,24,Climate/transmission; HIV/TB; Health resources,3,HIV/TB
14,Maldives,MDV,0.660888616,5925.94795509928,5781.896219825352,144.051735273928,1.0249142720306867,False,False,Neither,0,Climate/transmission,1,Climate/transmission
15,Myanmar,MMR,0.532025372,9439.52127720046,10126.801677651876,-687.2804004514164,0.9321325308494856,True,False,Structural high,0,Ambient PM2.5; Immunisation/UHC; Health resources,3,Ambient PM2.5
16,Philippines,PHL,0.669416191,8290.45753867116,5521.374096918302,2769.0834417528586,1.5015207071910586,True,True,Double-high,24,Household energy/HAP; Climate/transmission; HIV/TB; Health resources,4,HIV/TB
